Id,Ente,Cig,Tipologia,Criterio,Procedura,Oggetto,Importo,"Data scadenza"
37,"Comune dell'Aquila - Ambiente di Test",2512458754,Lavori,"Solo prezzo",Negoziata,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaax,115000,"27/03/2015 08:45:00"
38,"Comune dell'Aquila - Ambiente di Test",2010254896,Lavori,"Solo prezzo",Negoziata,"prova ultime modifiche 2",115000,"27/03/2015 08:45:00"
39,"Comune dell'Aquila - Ambiente di Test",1252435698,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,aaaaaaaaaaaaaaaaa,100000,"27/03/2015 11:46:00"
40,"Comune dell'Aquila - Ambiente di Test",aaaaaaaaaa,Servizi,"Solo prezzo",Aperta,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,100000,"27/03/2015 12:00:00"
41,"Comune dell'Aquila - Ambiente di Test",1252456987,Lavori,"Solo prezzo",Negoziata,hhhhhhhhhhhhhhhhhhhhhhhhhhh,108000,"30/03/2015 11:01:00"
25,"Comune dell'Aquila - Ambiente di Test",qqqqqqqqqq,Lavori,"Solo prezzo",Negoziata,sjkbjkasbkjasbckb,102400,"31/03/2015 12:42:00"
44,"Comune dell'Aquila - Ambiente di Test",4444444444,Lavori,"Offerta economicamente pi&ugrave; vantaggiosa",Negoziata,"prova luigi offerta economica",550000,"21/04/2015 11:15:00"
45,"Comune dell'Aquila - Ambiente di Test",1111111111,Lavori,"Solo prezzo",Negoziata,"X LUIGIUI",400000,"21/04/2015 12:20:00"
47,"Comune dell'Aquila - Ambiente di Test",1215421589,Lavori,"Solo prezzo",Negoziata,sssssssssssssssssss,233439.59999999998,"20/05/2015 11:33:00"
46,"Comune dell'Aquila - Ambiente di Test",1111111111,Lavori,"Solo prezzo",Negoziata,jjjjjjjjjjjjjjjjjjjjjjjjjjj,20200,"20/05/2015 15:54:00"
48,"Comune dell'Aquila - Ambiente di Test",dddddddddd,Lavori,"Solo prezzo",Aperta,fgdfgdgfggggggggggggggggggggggggg,105000,"22/05/2015 09:46:00"
49,"Comune dell'Aquila - Ambiente di Test",1515151515,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"luigi poste",170000,"29/05/2015 10:15:00"
50,"Comune dell'Aquila - Ambiente di Test",3333333333,Lavori,"Solo prezzo",Negoziata,ssssssssssssss,4000000,"03/06/2015 12:00:00"
51,"Comune dell'Aquila - Ambiente di Test",aaaaaaaaaa,Lavori,"Solo prezzo",Negoziata,aaaaaaaaaaaaaa,5000000,"03/06/2015 12:15:00"
52,"Comune dell'Aquila - Ambiente di Test",1111111111,Servizi,"Solo prezzo",Aperta,dddddddddddddddddddddd,10000000,"04/06/2015 09:46:00"
53,"Comune dell'Aquila - Ambiente di Test",1676543456,Lavori,"Solo prezzo",Aperta,"gara lavori",41084.15,"16/06/2015 09:12:00"
54,"Comune dell'Aquila - Ambiente di Test",dddddddddd,Lavori,"Solo prezzo",Negoziata,dddddddddd,1000000,"22/06/2015 11:00:00"
