Id,Ente,Cig,Tipologia,Criterio,Procedura,Oggetto,Importo,"Data scadenza"
8,"Comune di Crotone",6137425B52,Lavori,"Solo prezzo",Aperta,"POR CALABRIA FESR 2007/2013 ASSE II ENERGIA. Obiettivo specifico 2.1 linea di intervento 2.1.1.1. azioni per la realizzazione di impianti per la produzione di energia da fonti rinnovabili. Impianto fotovoltaico da 97,44 KWP da installare sulla copertura degli spogliatoi dell&#39;impianto sportivo natatorio denominato &quot;Settore C&rdquo;. Comune di Crotone",411624.27,"27/03/2015 12:00:00"
16,"Comune di Caccuri",6139925A63,Lavori,"Solo prezzo",Aperta,"LAVORI DI SISTEMAZIONE STRADE INTERPODERALI LOCALITA&rsquo; FONTANA E BORDO&rsquo; DEL COMUNE DI CACCURI",137614.68,"13/04/2015 12:00:00"
20,"Comune di Verzino",605836836E,Forniture,"Solo prezzo",Aperta,"COMUNE DI VERZINO.&nbsp;PRS Calabria 2007/2013. Piani Integrati per le Aree Rurali &ndash; Misura 321.Fornitura di un&rsquo;ambulanza di soccorso di tipo A e di attrezzature varie.",91200,"14/04/2015 12:00:00"
15,"Comune di Isola di Capo Rizzuto",6054182508,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"Affidamento del servizio di trasporto scolastico per gli anni 2015-2017.&nbsp;&nbsp;",342834.42,"16/04/2015 12:00:00"
6,"Comune di Crotone",6137317235,Lavori,"Solo prezzo",Aperta,"POR CALABRIA FESR 2007/2013 ASSE II ENERGIA. Obiettivo specifico 2.1 linea di intervento 2.1.2.1. Azioni per la definizione, sperimentazione e diffusione di modelli di utilizzazione razionale dell&rsquo;energia per la di munizione dei consumi negli usi finali civili e industriali. &ldquo;Realizzazione degli interventi di efficientamento energetico della sede del Tribunale di Crotone&rdquo;;&nbsp;",1138572.02,"16/04/2015 12:00:00"
19,"Provincia di Crotone",61696235F5,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"PROVINCIA DI CROTONE.&nbsp;POR CALABRIA FESR 2007/2013. PISL. Linea di intervento 5.1.1.1. Sviluppo di attivit&agrave; economiche sostenibili. Acquisizione di servizi&nbsp; specialistici di consulenza, assistenza tecnica, organizzazione, informazione e accoglienza turistica per l&rsquo;apertura e la gestione di un Centro Servizi Turistici della Provincia di Crotone.",262186.06,"04/05/2015 12:00:00"
18,"Comune di Savelli",6159007D59,Lavori,"Solo prezzo",Aperta,"PSR Calabria 2007/2013 &ndash; PIAR &nbsp;Presila Crotonese &ndash; Misura 125 - &nbsp;LAVORI DI SISTEMAZIONE STRADA INTERPODERALE PEDALATI&nbsp; - VALLE CHIESA. Comune di Savelli.",136826.43,"05/05/2015 12:00:00"
23,"Comune di Carfizzi",605219909D,Lavori,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"Comune di Carfizzi.&nbsp;Lavori di completamento della Chiesa Santa Veneranda.",122542,"05/05/2015 12:00:00"
22,"Comune di Mesoraca",5915195D52,Servizi,"Solo prezzo",Aperta,"Servizio di raccolta, trasporto e conferimento dei rifiuti solidi urbani e assimilati nonch&egrave; il servizio di spazzamento strade del capoluogo di Mesoraca e &nbsp;della frazione Filippa.&nbsp;",337136.36,"14/05/2015 12:00:00"
25,"Comune di Strongoli",6217546146,Lavori,"Solo prezzo",Aperta,"COMUNE DI STRONGOLI.&nbsp;LAVORI DI URBANIZZAZIONE PRIMARIA ATTRAVERSO LA REALIZZAZIONE DELLE STRADE E RACCOLTA ACQUE BIANCHE IN CONTRADA DONNA ROSA.",195510.94,"21/05/2015 12:00:00"
28,"Comune di Strongoli",6000118DFF,Servizi,"Solo prezzo",Aperta,"COMUNE DI STRONGOLI. Affidamento del servizio di trasporto scolastico.",183820,"26/05/2015 12:00:00"
21,"SUA - Provincia di crotone",603541345D,"Lavori e progettazione definitiva ed esecutiva","Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"COMUNE DI CASABONA. PIAR. MISURA 321. Servizi essenziali per l&rsquo;economia e le popolazioni rurali. Copertura rete wireless Area Presila Crotonese.",691294.8,"27/05/2015 12:00:00"
27,"Comune di Melissa",6243820343,Lavori,"Solo prezzo",Aperta,"O.C.D.P. N.52/2013 - Intervento di miglioramento sismico della delegazione comunale di Torre Melissa.",247200,"03/06/2015 12:00:00"
26,"Comune di Cotronei",611931065B,Lavori,"Solo prezzo",Aperta,"LAVORI DI RECUPERO ED IGIENICO SANITARIO CENTRO ABITATO E FRAZIONI",165000,"04/06/2015 12:00:00"
29,"Comune di Crotone",6221249116,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"Progetti Integrati di Sviluppo Urbano (P.I.S.U.) &ndash; POR Calabria &ndash; FESR 2007/13 &ndash; Linea d&rsquo;Intervento 8.1.1.3 &ndash; Azioni per la realizzazione ed il potenziamento delle funzioni e dei servizi per le filiere della creativit&agrave;, dell&rsquo;intrattenimento, della produzione artistica e culturale nelle citt&agrave; e nelle aree urbane. &ldquo;Progetto di promozione e valorizzazione &nbsp;per lo scambio di esperienze in materia di distretto culturale urbano&rdquo;.",119000,"15/06/2015 12:00:00"
14,"Comune di Crotone",62573776D9,Lavori,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"COMUNE DI CROTONE.&nbsp;&nbsp; &ldquo;PISU - Progetti&nbsp; Integrati di Sviluppo Urbano&rdquo; &ndash; Linea di intervento 8.1.2.2. &ndash; Azioni per il potenziamento dei sistemi di mobilit&agrave; sostenibile nelle citt&agrave; e nelle Aree Urbane.<br />
1 &ndash; Sistema integrato di mobilit&agrave; urbana. Potenziamento sistema di mobilit&agrave; sostenibile (greenways) frazioni &ndash; periferie &ndash; centro con collegamento ai parcheggi raso e multipiano e piste ciclabili dedicate.<br />
2.c &ndash; Lavori di realizzazione di collegamento a pista ciclabile esistente Lungomare Gramsci &ndash; Via Gallucci.",237000,"16/06/2015 12:00:00"
31,"Comune di Petilia Policastro",6071553409,Lavori,"Solo prezzo",Aperta,"CONSOLIDAMENTO AREA TRA VIA ALDO MORO E VIA A. DE GASPERI",162693.47,"22/06/2015 12:00:00"
34,"A.S.P. di Crotone",62780445CC,Servizi,"Solo prezzo",Aperta,"ASP DI CROTONE:&nbsp;servizio di riparazione, manutenzione e revisione di tutti i veicoli a motore in uso all&rsquo;Azienda Sanitaria Provinciale di Crotone e di tutte le loro parti e componenti.",120000,"26/06/2015 12:00:00"
32,"A.S.P. di Crotone",625508429C,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"Affidamento quinquennale del servizio di tesoreria e cassa dell&rsquo;ASP di Crotone.",6284630.1,"06/07/2015 12:00:00"
24,"Comune di Casabona",6210560C3B,Servizi,"Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"Servizio di raccolta, trasporto e smaltimento dei rifiuti solidi urbani, dei materiali da recuperare e dello spazzamento stradale.Comune di Casabona",494100,"13/07/2015 12:00:00"
35,"Comune di Scandale",6062769340,Lavori,"Solo prezzo",Aperta,"POR CALABRIA - FESR 2007/2013 - ASSE V &ndash; Risorse Naturali, Culturali e Turismo Sostenibile. Obiettivo Operativo 5.2.1. &ndash; Lavori di recupero area archeologica in Loc. La Lustra. &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;",162900,"14/07/2015 12:00:00"
33,"A.S.P. di Crotone",6275361FB4,"Lavori e progettazione definitiva ed esecutiva","Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"Programma Operativo Regionale FERS 2007-2013 - ASSE II ENERGIA &ndash; Linea di intervento 2.1.2.1. - Sostegno alla realizzazione di modelli per la diminuzione dei consumi negli usi finali:&nbsp; PROGETTO DEMETRA &ndash; &ldquo;Diminuzione consumi e Produzione Energia da Fonti Rinnovabili&rdquo; POLIAMBULATORIO DI MESORACA (KR) &ndash;",2232384,"21/07/2015 12:00:00"
37,"Comune di Carfizzi",62422947F6,Lavori,"Solo prezzo",Aperta,"POR CALABRIA FESR 2007/2013. Contrasto allo Spopolamento Alto Crotonese -Dalla marginalit&agrave; allo sviluppo. Linea di Intervento 8.2.1.7. Recupero di un fabbricato e riqualificazione urbana nel Comune di Carfizzi. &nbsp;",300151.23,"27/07/2015 12:00:00"
36,"A.S.P. di Crotone",62949358B0,"Lavori e progettazione definitiva ed esecutiva","Offerta economicamente pi&ugrave; vantaggiosa",Aperta,"Programma Operativo Regionale FERS 2007-2013 - ASSE II ENERGIA &ndash; Linea di intervento 2.1.1.1. &ndash; Azioni per la realizzazione di impianti per la produzione energia da fonti rinnovabili:&nbsp; PROGETTO PROMETEO per il POLIAMBULATORIO dI Cir&ograve; Marina (Kr) &ndash;",1215000,"27/07/2015 12:00:00"
